,ecdf,Label,Values,ID
28,0.5370370370370371,Snus,0.48859934853420195,3A
29,0.5555555555555556,Snus,0.488673139158576,3B
30,0.5740740740740741,Snus,0.48943661971830993,3C
31,0.5925925925925926,Snus,0.4896265560165975,4A
32,0.6111111111111112,Snus,0.49063670411985016,4B
33,0.6296296296296297,Snus,0.4918032786885246,7B
34,0.6481481481481481,Snus,0.49236641221374045,7F
35,0.6666666666666666,Snus,0.4927007299270074,D
36,0.6851851851851852,Snus,0.49280575539568333,5I
37,0.7037037037037037,Snus,0.49305555555555547,18A
38,0.7222222222222222,Snus,0.4943820224719101,18B
39,0.7407407407407407,Snus,0.49635036496350377,18C
40,0.7592592592592593,Snus,0.4980392156862745,18D
41,0.7777777777777778,Snus,0.49831649831649844,18G
42,0.7962962962962963,Snus,0.49851632047477745,20B
43,0.8148148148148148,Snus,0.5,20D
44,0.8333333333333334,Snus,0.5,20E
45,0.8518518518518519,Snus,0.5,20G
46,0.8703703703703703,Snus,0.503125,34B
47,0.8888888888888888,Snus,0.5068493150684933,34C
48,0.9074074074074074,Snus,0.506896551724138,34D
49,0.9259259259259259,Snus,0.5181518151815182,34F
50,0.9444444444444444,Snus,0.5261627906976746,34G
51,0.9629629629629629,Snus,0.5323383084577114,34H
52,0.9814814814814815,Snus,0.559375,34I
53,1.0,Snus,0.5612903225806452,46A
0,0.015625,Camel Blue,0.35238095238095246,23A
1,0.03125,Camel Blue,0.36363636363636365,23D
2,0.046875,Camel Blue,0.37962962962962954,23F
3,0.0625,Camel Blue,0.38,26A
4,0.078125,Camel Blue,0.39316239316239315,26B
5,0.09375,Camel Blue,0.39622641509433965,26F
6,0.109375,Camel Blue,0.40243902439024387,26G
7,0.125,Camel Blue,0.40399999999999997,26H
8,0.140625,Camel Blue,0.40598290598290604,28A
9,0.15625,Camel Blue,0.4103585657370518,29C
10,0.171875,Camel Blue,0.4140625,29E
11,0.1875,Camel Blue,0.4150197628458498,29F
12,0.203125,Camel Blue,0.41666666666666663,36B
13,0.21875,Camel Blue,0.4166666666666667,36C
14,0.234375,Camel Blue,0.41810344827586204,36F
15,0.25,Camel Blue,0.41850220264317184,36G
16,0.265625,Camel Blue,0.4202334630350195,39A
17,0.28125,Camel Blue,0.42194092827004226,39D
18,0.296875,Camel Blue,0.42248062015503873,39E
19,0.3125,Camel Blue,0.42682926829268286,44A
20,0.328125,Camel Blue,0.4274193548387097,44B
21,0.34375,Camel Blue,0.4292237442922375,44C
22,0.359375,Camel Blue,0.43018867924528303,44E
23,0.375,Camel Blue,0.43023255813953487,44F
24,0.390625,Camel Blue,0.4305555555555556,44G
25,0.40625,Camel Blue,0.43076923076923074,44H
26,0.421875,Camel Blue,0.4346153846153846,44J
27,0.4375,Camel Blue,0.4351145038167939,45A
28,0.453125,Camel Blue,0.4360902255639097,45B
29,0.46875,Camel Blue,0.4385964912280702,45C
30,0.484375,Camel Blue,0.4389312977099237,45E
31,0.5,Camel Blue,0.4405594405594405,45F
32,0.515625,Camel Blue,0.4410646387832699,23A
33,0.53125,Camel Blue,0.44244604316546765,23D
34,0.546875,Camel Blue,0.4451827242524917,23F
35,0.5625,Camel Blue,0.44520547945205485,26A
36,0.578125,Camel Blue,0.44709897610921506,26B
37,0.59375,Camel Blue,0.4524714828897339,26F
38,0.609375,Camel Blue,0.45588235294117646,26G
39,0.625,Camel Blue,0.45847176079734225,26H
40,0.640625,Camel Blue,0.46715328467153294,28A
41,0.65625,Camel Blue,0.4676258992805755,29C
42,0.671875,Camel Blue,0.4708029197080293,29E
43,0.6875,Camel Blue,0.47101449275362317,29F
44,0.703125,Camel Blue,0.47330960854092524,36B
45,0.71875,Camel Blue,0.47524752475247534,36C
46,0.734375,Camel Blue,0.47697368421052627,36F
47,0.75,Camel Blue,0.4785478547854785,36G
48,0.765625,Camel Blue,0.4837758112094395,39A
49,0.78125,Camel Blue,0.48666666666666664,39D
50,0.796875,Camel Blue,0.48666666666666664,39E
51,0.8125,Camel Blue,0.487544483985765,44A
52,0.828125,Camel Blue,0.49038461538461536,44B
53,0.84375,Camel Blue,0.495114006514658,44C
54,0.859375,Camel Blue,0.4965034965034964,44E
55,0.875,Camel Blue,0.49836065573770494,44F
56,0.890625,Camel Blue,0.5,44G
57,0.90625,Camel Blue,0.5028248587570622,44H
58,0.921875,Camel Blue,0.50625,44J
59,0.9375,Camel Blue,0.5227272727272727,45A
60,0.953125,Camel Blue,0.5305466237942122,45B
61,0.96875,Camel Blue,0.5353846153846153,45C
62,0.984375,Camel Blue,0.7169811320754716,45E
63,1.0,Camel Blue,0.8952095808383234,45F
